Date,VTI,AGG,DBC,^VIX
2006-02-06,46.04653549194336,60.479698181152344,22.04833984375,13.039999961853027
2006-02-07,45.59819793701172,60.4373893737793,21.410579681396484,13.59000015258789
2006-02-08,45.92622756958008,60.40725326538086,21.319469451904297,12.829999923706055
2006-02-09,45.83875274658203,60.44346237182617,21.51991081237793,13.119999885559082
2006-02-10,45.93352508544922,60.316734313964844,21.128143310546875,12.869999885559082
2006-02-13,45.72577667236328,60.35893630981445,20.800148010253906,13.350000381469727
2006-02-14,46.159507751464844,60.2624397277832,20.62704086303711,12.25
2006-02-15,46.334476470947266,60.32880401611328,20.326383590698242,12.3100004196167
2006-02-16,46.69532775878906,60.26847457885742,20.572376251220703,11.479999542236328
2006-02-17,46.64064407348633,60.51590347290039,20.86392593383789,12.010000228881836
2006-02-21,46.509422302246094,60.292606353759766,21.210140228271484,12.40999984741211
2006-02-22,46.87393569946289,60.534034729003906,20.86392593383789,11.880000114440918
2006-02-23,46.757286071777344,60.49779510498047,20.791038513183594,11.869999885559082
2006-02-24,46.83018493652344,60.54609680175781,21.355915069580078,11.460000038146973
2006-02-27,46.96504211425781,60.419368743896484,20.936809539794922,11.59000015258789
2006-02-28,46.50213623046875,60.54609680175781,21.219249725341797,12.34000015258789
2006-03-01,46.91036605834961,60.54790496826172,21.173696517944336,11.539999961853027
2006-03-02,46.877586364746094,60.39642333984375,21.556352615356445,11.720000267028809
2006-03-03,46.801029205322266,60.27531433105469,21.756792068481445,11.960000038146973
2006-03-06,46.458404541015625,59.94209671020508,21.410579681396484,12.739999771118164
2006-03-07,46.26885986328125,60.093536376953125,21.037033081054688,12.65999984741211
2006-03-08,46.400081634521484,60.12382888793945,20.69993019104004,12.319999694824219
2006-03-09,46.152225494384766,60.04508972167969,20.909481048583984,12.680000305175781
2006-03-10,46.51306915283203,60.06934356689453,20.81837272644043,11.850000381469727
2006-03-13,46.62607955932617,60.17839431762695,21.091697692871094,11.369999885559082
2006-03-14,47.10719680786133,60.3782844543457,21.401466369628906,10.739999771118164
2006-03-15,47.31863021850586,60.214683532714844,21.164583206176758,11.350000381469727
2006-03-16,47.420658111572266,60.469154357910156,21.3468017578125,11.979999542236328
2006-03-17,47.457115173339844,60.33588790893555,21.24658203125,12.119999885559082
2006-03-20,47.35683059692383,60.31162643432617,20.809261322021484,11.789999961853027
2006-03-21,47.09334182739258,60.15418243408203,20.88214683532715,11.619999885559082
2006-03-22,47.3787841796875,60.26313781738281,20.845703125,11.210000038146973
2006-03-23,47.36781692504883,60.214683532714844,21.201026916503906,11.170000076293945
2006-03-24,47.430030822753906,60.31772232055664,21.155473709106445,11.1899995803833
2006-03-27,47.39710998535156,60.36621856689453,21.28302574157715,11.460000038146973
2006-03-28,47.11897277832031,60.214683532714844,21.556352615356445,11.579999923706055
2006-03-29,47.558128356933594,60.093536376953125,21.70212745666504,10.949999809265137
2006-03-30,47.430030822753906,59.82099151611328,21.966341018676758,11.569999694824219
2006-03-31,47.45563507080078,60.02088928222656,21.811458587646484,11.390000343322754
2006-04-03,47.4044189453125,59.961891174316406,21.91167640686035,11.569999694824219
2006-04-04,47.67889404296875,60.04094696044922,21.79323387145996,11.140000343322754
2006-04-05,47.854549407958984,60.083534240722656,21.929899215698242,11.130000114440918
2006-04-06,47.83259582519531,60.03489303588867,22.321666717529297,11.449999809265137
2006-04-07,47.32024383544922,59.834163665771484,22.221446990966797,12.260000228881836
2006-04-10,47.382450103759766,59.77943801879883,22.631439208984375,12.1899995803833
2006-04-11,46.954280853271484,59.901065826416016,22.72254753112793,13.0
2006-04-12,47.0494270324707,59.846309661865234,22.676990509033203,12.760000228881836
2006-04-13,47.0384407043457,59.72472381591797,22.822763442993164,12.380000114440918
2006-04-17,46.96525192260742,59.82194900512695,23.06875991821289,12.579999923706055
2006-04-18,47.7740478515625,59.77943801879883,23.369417190551758,11.399999618530273
2006-04-19,47.91677474975586,59.834163665771484,23.597190856933594,11.319999694824219
2006-04-20,47.982643127441406,59.74294662475586,23.323863983154297,11.640000343322754
2006-04-21,47.96067428588867,59.736846923828125,23.81585121154785,11.59000015258789
2006-04-24,47.82161331176758,59.961891174316406,23.342086791992188,11.75
2006-04-25,47.667911529541016,59.76119613647461,23.41497230529785,11.75
